Date,Capacity (%),Water Level (m)
09-Sep-19,86.0,28.5
02-Sep-19,84.7,28.1
26-Aug-19,85.1,28.3
19-Aug-19,82.9,27.5
12-Aug-19,77.5,25.7
05-Aug-19,76.0,25.2
29-Jul-19,69.5,23.1
22-Jul-19,58.3,19.4
15-Jul-19,67.5,22.4
08-Jul-19,74.5,24.7
01-Jul-19,75.7,25.1
24-Jun-19,75.3,25.0
17-Jun-19,71.5,23.7
10-Jun-19,61.8,20.5
03-Jun-19,66.3,22.0
27-May-19,67.9,22.5
20-May-19,73.9,24.5
13-May-19,70.3,23.3
06-May-19,68.2,22.6
29-Apr-19,65.4,21.7
22-Apr-19,66.1,21.9
15-Apr-19,75.7,25.1
08-Apr-19,85.9,28.5
01-Apr-19,90.3,30.0
25-Mar-19,99.9,33.2
18-Mar-19,99.9,33.2
11-Mar-19,86.3,28.7
04-Mar-19,80.1,26.6
25-Feb-19,82.7,27.5
18-Feb-19,84.5,28.1
11-Feb-19,84.5,28.1
04-Feb-19,78.3,26.0
28-Jan-19,77.6,25.8
21-Jan-19,72.8,24.2
14-Jan-19,73.2,24.3
07-Jan-19,73.3,24.3
31-Dec-18,74.3,24.7
24-Dec-18,72.1,23.9
17-Dec-18,65.2,21.6
10-Dec-18,61.4,20.4
03-Dec-18,41.9,13.9
26-Nov-18,36.6,12.2
19-Nov-18,33.4,11.1
12-Nov-18,34.5,11.5
05-Nov-18,35.4,11.8
29-Oct-18,37.8,12.5
22-Oct-18,39.6,13.1
15-Oct-18,40.4,13.4
08-Oct-18,39.6,13.1
01-Oct-18,40.9,13.6
24-Sep-18,42.4,14.1
17-Sep-18,34.9,11.6
10-Sep-18,36.5,12.1
03-Sep-18,38.9,12.9
27-Aug-18,41.3,13.7
20-Aug-18,44.0,14.6
13-Aug-18,46.2,15.3
30-Jul-18,49.1,16.3
23-Jul-18,52.1,17.3
16-Jul-18,55.5,18.4
09-Jul-18,61.0,20.3
02-Jul-18,63.4,21.0
25-Jun-18,72.1,23.9
18-Jun-18,76.3,25.3
11-Jun-18,79.3,26.3
04-Jun-18,83.0,27.6
28-May-18,85.8,28.5
21-May-18,89.4,29.7
14-May-18,92.5,30.7
07-May-18,96.4,32.0
30-Apr-18,98.3,32.6
23-Apr-18,97.3,32.3
16-Apr-18,99.9,33.2
09-Apr-18,100.0,33.2
02-Apr-18,90.5,30.0
26-Mar-18,98.2,32.6
19-Mar-18,99.8,33.1
12-Mar-18,99.6,33.1
05-Mar-18,97.9,32.5
26-Feb-18,99.9,33.2
19-Feb-18,99.7,33.1
12-Feb-18,100.0,33.2
05-Feb-18,99.9,33.2
29-Jan-18,99.8,33.1
22-Jan-18,99.0,32.9
15-Jan-18,99.8,33.1
08-Jan-18,99.8,33.1
01-Jan-18,99.6,33.1
25-Dec-17,100.0,33.2
18-Dec-17,100.0,33.2
11-Dec-17,91.2,30.3
04-Dec-17,96.2,31.9
27-Nov-17,99.5,33.0
20-Nov-17,90.2,29.9
13-Nov-17,86.9,28.9
06-Nov-17,85.8,28.5
30-Oct-17,80.9,26.9
23-Oct-17,70.5,23.4
16-Oct-17,63.8,21.2
09-Oct-17,59.2,19.7
02-Oct-17,48.8,16.2
25-Sep-17,43.8,14.5
18-Sep-17,50.8,16.9
11-Sep-17,51.3,17.0
04-Sep-17,48.2,16.0
29-Aug-17,56.3,18.7
21-Aug-17,62.5,20.8
14-Aug-17,59.3,19.7
07-Aug-17,54.0,17.9
31-Jul-17,49.7,16.5
24-Jul-17,43.3,14.4
17-Jul-17,50.2,16.7
10-Jul-17,59.2,19.7
03-Jul-17,59.2,19.7
26-Jun-17,55.3,18.4
19-Jun-17,65.5,21.7
12-Jun-17,65.5,21.7
05-Jun-17,56.1,18.6
29-May-17,53.9,17.9
22-May-17,53.4,17.7
15-May-17,47.9,15.9
08-May-17,53.4,17.7
01-May-17,58.6,19.5
24-Apr-17,70.3,23.3
17-Apr-17,78.4,26.0
